host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	comment
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	0	1.412645	97.254554	1.5453986372756958	0.48128	1.3457342121124267	0.574	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	1	98.66817	95.16872	1.1548174026298523	0.63514	1.349864752960205	0.5733	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	2	193.839002	95.129637	0.9986387183380127	0.69898	1.1661688398361205	0.6408	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	3	288.9696	95.166497	0.9059001506614685	0.73598	1.0435420706748963	0.7126	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	4	384.138227	95.181444	0.8432362996864319	0.76234	0.9431877464294434	0.7464	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	5	479.32196	95.177543	0.796330851726532	0.7796	0.8138812502384186	0.7787	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	6	574.500494	95.129318	0.7709541434955597	0.7887	0.9855415925979615	0.7351	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	7	669.630771	95.173346	0.7388855227661133	0.80334	0.9462717171669006	0.7543	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	8	764.806059	95.062734	0.7148872093772888	0.81146	0.8360607101917267	0.7877	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	9	859.869751	95.059718	0.6999001820659637	0.81742	0.8737122291564942	0.7624	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	10	954.931851	95.149049	0.6834324556922913	0.82382	1.108015571975708	0.7088	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	11	1050.081915	95.161383	0.6650662996292114	0.83034	0.7598040610313416	0.8033	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	12	1145.245158	95.109167	0.656947510766983	0.83504	0.7803007444381714	0.7907	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
taurusi2057	resnet32v1	cifar10	7.030492	50000	10000	1.0	20180309:085019	20180309:091410	13	1240.356159	95.192729	0.6494932823944092	0.83804	0.9671069136619568	0.75	version=1,n=3,data_augmentation=True,batch_size=32,subtract_pixel_mean=True,num_classes=10,epochs=15,checkpoint_epochs=False	k80:1,fs:nfs
