host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	0	4.750441	53.30233	0.41627999996185305	1.9740807311630248	0.001	0.8910600000190735	0.3566	2.6070653041839598	0.8256	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	1	58.05592	47.19539	0.590120000038147	1.4430265691757203	0.001	0.956880000038147	0.4202	2.687156359100342	0.8482	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	2	105.254456	47.149857	0.6690600000190735	1.2106516590881347	0.001	0.97264	0.641	1.3106651300430299	0.9659	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	3	152.407096	47.07965	0.720820000038147	1.0586081233215332	0.001	0.979280000038147	0.6736	1.2746185642242431	0.9677	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	4	199.489937	47.157909	0.749580000038147	0.9598472185897827	0.001	0.9839800000190735	0.6548	1.3258290872573852	0.9506	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	5	246.650672	47.214339	0.7698400000190735	0.897935999584198	0.001	0.986480000038147	0.7405	0.9968915929794312	0.9834	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	6	293.86779	47.141111	0.785040000038147	0.8466585989952088	0.001	0.98782	0.6485	1.3894742256164552	0.9705	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	7	341.011835	47.121197	0.797020000038147	0.8081673631095886	0.001	0.9890600000190735	0.7219	1.117276040840149	0.979	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	8	388.136047	47.026502	0.808700000038147	0.7668654549789429	0.001	0.98976	0.6849	1.2203124477386476	0.9758	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.191794	50000	10000	1.	20180510:171920	20180510:172722	9	435.165571	47.173614	0.8165399999809265	0.7379605532836914	0.001	0.99166	0.7042	1.2325778818130493	0.9444	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n=9,n_gpus=1,checkpoint_epochs=False,batch_size=128,backend=keras,version=1,epochs=10,num_classes=10,subtract_pixel_mean=True,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
